University/College,Course Name,Level,Full-time/Part-time,Mode of Study,Location,Fee (/year),Duration
University of Melbourne,Bachelor of Arts (Anthropology),Bachelor,Full-time,On Campus,"Melbourne, Victoria",42000,3
University of Wollongong,Bachelor of Journalism,Bachelor,Full-time,On Campus,"Wollongong, New South Wales",32000,3
Bond University,Bachelor of Laws,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",45000,5
Southern Cross University,Bachelor of Marine Science,Bachelor,Full-time,On Campus,"Lismore, New South Wales",32000,3
Western Sydney University,Bachelor of Information and Communications Technology,Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Monash University,Bachelor of Health Sciences,Bachelor,Full-time,On Campus,"Melbourne, Victoria",38000,3
University of Canberra,Bachelor of Psychology,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",34000,4
Flinders University,Bachelor of Creative Arts,Bachelor,Full-time,On Campus,"Adelaide, South Australia",33000,3
Deakin University,Bachelor of Commerce,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
Curtin University,Bachelor of Civil Engineering,Bachelor,Full-time,On Campus,"Perth, Western Australia",37000,4
Griffith University,Bachelor of Business,Bachelor,Full-time,On Campus,"Brisbane, Queensland",31000,3
University of Tasmania,Bachelor of Music,Bachelor,Full-time,On Campus,"Hobart, Tasmania",29000,3
Macquarie University,Bachelor of Cyber Security,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
University of Adelaide,Bachelor of Dental Surgery,Bachelor,Full-time,On Campus,"Adelaide, South Australia",50000,5
La Trobe University,Bachelor of Criminology,Bachelor,Full-time,On Campus,"Melbourne, Victoria",29000,3
Federation University,Bachelor of Environmental Management,Bachelor,Full-time,On Campus,"Ballarat, Victoria",28000,3
Murdoch University,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
RMIT University,Bachelor of Fine Arts (Photography),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Victoria University,Bachelor of Education,Bachelor,Full-time,On Campus,"Melbourne, Victoria",31000,4
University of Southern Queensland,Bachelor of Agricultural Science,Bachelor,Full-time,On Campus,"Toowoomba, Queensland",31000,3
Edith Cowan University,Bachelor of Engineering (Mechanical),Bachelor,Full-time,On Campus,"Joondalup, Western Australia",34000,4
Charles Darwin University,Bachelor of Social Work,Bachelor,Full-time,On Campus,"Darwin, Northern Territory",33000,4
University of New South Wales,Bachelor of International Studies,Bachelor,Full-time,On Campus,"Sydney, New South Wales",42000,3
University of Notre Dame Australia,Bachelor of Arts (History),Bachelor,Full-time,On Campus,"Fremantle, Western Australia",30000,3
CQUniversity,Bachelor of Information Technology(BIT),Bachelor,Full-time,On Campus,"Rockhampton, Queensland",29000,3
University of Newcastle,Bachelor of Biomedical Science,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",35000,3
University of Technology Sydney,Bachelor of Design (Architecture),Bachelor,Full-time,On Campus,"Sydney, New South Wales",43000,4
Australian Catholic University,Bachelor of Theology,Bachelor,Full-time,On Campus,"Sydney, New South Wales",29000,3
The University of Western Australia,Bachelor of Philosophy (Honours) - Finance,Bachelor,"Full-time, Part-time",On Campus,"49,300 AUD/year",4 years,
University of Queensland,Bachelor of Science in Chemistry,Bachelor,"Full-time, Part-time",On Campus,"43,800 AUD/year",3 years,
University of Southern Queensland,Bachelor of Environmental Engineering (Honours),Bachelor,"Full-time, Part-time",On Campus,"31,040 AUD/year",4 years,
James Cook University,Bachelor of Business and Laws,Bachelor,Full-time,On Campus,"16,323 AUD/year",4.5 years,
University of Tasmania,Bachelor of Education (Health and Physical Education),Bachelor,"Full-time, Part-time",On Campus,"33,450 AUD/year",4 years,
Queensland University of Technology,Bachelor of Property Investment and Development Major,Bachelor,Full-time,On Campus,"34,970 AUD/year",3 years,
University of Canberra,Bachelor of Science in Environmental Science,Bachelor,Full-time,On Campus,"34,000 AUD/year",1 year,
University of Queensland,Bachelor of Communication,Bachelor,"Full-time, Part-time",On Campus,"14,701 AUD/year",4 years,
Western Sydney University,Bachelor of Construction Management Advanced (Honours),Bachelor,"Full-time, Part-time",On Campus,"36,424 AUD/year",3.5 years,
Monash University,Bachelor of Fine Art,Bachelor,"Full-time, Part-time",On Campus,"10,000 AUD/year",3 years,
Flinders University,Bachelor of Tourism and Events Management,Bachelor,"Full-time, Part-time",On Campus,"16,320 AUD/year",3 years,
University of Southern Queensland,Bachelor of Agricultural Technology and Management,Bachelor,"Full-time, Part-time",On Campus,"31,040 AUD/year",3 years,
Federation University Australia,Bachelor of Engineering (Civil) (Honours),Bachelor,"Full-time, Part-time",On Campus,"8,948 AUD/year",4 years,
University of South Australia,Bachelor of Business,Bachelor,Full-time,On Campus,"38,300 AUD/year",3 years,
University of Wollongong,Bachelor of Journalism,Bachelor,Full-time,On Campus,"32,000 AUD/year",3 years,
University of Western Australia,Bachelor of Biomedical Science (Integrated Dental Sciences),Bachelor,Full-time,On Campus,"43,800 AUD/year",3 years,
The University of Notre Dame Australia,Bachelor of Laws with Commerce,Bachelor,"Full-time, Part-time",On Campus,"40,900 AUD/year","5 years, 4 months",
Deakin University,Bachelor of Arts (Honours),Bachelor,"Full-time, Part-time",On Campus,"16,992 AUD/year",1 year,
University of Newcastle,Bachelor of Mathematics and Science,Bachelor,"Full-time, Part-time",On Campus,"40,995 AUD/year",4 years,
Monash University,Bachelor of Medical Science and Medicine,Bachelor,"Full-time, Part-time",On Campus,"12,720 AUD/year",5 years,
University of South Australia,Bachelor of Games and Entertainment Design,Bachelor,"Full-time, Part-time",On Campus,"39,400 AUD/year",3 years,
RMIT University,Bachelor of Project Management (Honours),Bachelor,Full-time,On Campus,"4,627 AUD/year",4 years,
University of Queensland,Bachelor of Science in Environmental Design,Bachelor,"Full-time, Part-time",On Campus,"9,845 AUD/year",3 years,
Queensland University of Technology,Bachelor of Business - Design (Visual Communication),Bachelor,Full-time,On Campus,"13,000 AUD/year",4 years,
University of Sydney,Bachelor of Liberal Arts and Science,Bachelor,Full-time,On Campus,"12,720 AUD/year",3 years,
Charles Sturt University,Bachelor of Education (Birth to Five Years),Bachelor,"Full-time, Part-time",Online,"5,918 AUD/year",2 years,
University of Queensland,Bachelor of Mathematical Physics,Bachelor,"Full-time, Part-time",On Campus,"4,760 AUD/year",4 years,
Queensland University of Technology,Bachelor of Property Economics,Bachelor,Full-time,On Campus,"16,700 AUD/year",4 years,
Bond University,Bachelor of Health Transformation,Bachelor,Full-time,On Campus,"51,120 AUD/year",2 years,
James Cook University,Bachelor of Environmental Science and Management,Bachelor,Full-time,On Campus,"9,785 AUD/year",3 years,
University of South Australia,Bachelor of Business,Bachelor,Full-time,On Campus,"Adelaide, South Australia",38300,3
University of Southern Queensland,Bachelor of Creative Arts (Honours) (Music),Bachelor,Full-time,On Campus,"Toowoomba, Queensland",25760,1
University of Canberra,Bachelor of Environmental Science,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",32400,3
University of Wollongong,Bachelor of Commerce - Bachelor of Laws,Bachelor,Full-time,On Campus,"Wollongong, New South Wales",34215,5
University of Queensland,Bachelor of Science (Biotechnology),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,3
University of Queensland,Bachelor of Political Science,Bachelor,Full-time,On Campus,"Brisbane, Queensland",33000,3
University of Western Australia,Bachelor of Philosophy (Honours) - Finance,Bachelor,"Full-time, Part-time",On Campus,Multiple locations,49300,4
University of Queensland,Bachelor of Development Studies - Bachelor of Communication,Bachelor,"Full-time, Part-time",On Campus,"Brisbane, Queensland",43800,3
University of Tasmania,Bachelor of Education (Health and Physical Education),Bachelor,"Full-time, Part-time",On Campus,"Launceston, Tasmania",33450,4
University of Southern Queensland,Bachelor of Engineering Science Major - Civil Engineering,Bachelor,"Full-time, Part-time",On Campus,"Toowoomba, Queensland",31040,3
Queensland University of Technology,Bachelor of Business - Design (Visual Communication),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34970,4
University of Queensland,Bachelor of Science - Chemistry,Bachelor,"Full-time, Part-time",On Campus,"Brisbane, Queensland",43800,3
University of Adelaide,Bachelor of Laws with Commerce,Bachelor,"Full-time, Part-time",On Campus,"Fremantle, Western Australia",40900,"5 , 4 month"
University of Sydney,Bachelor of Liberal Arts and Science,Bachelor,"Full-time, Part-time",On Campus,"Sydney, New South Wales",12720,3
La Trobe University,Bachelor of Sport Management,Bachelor,"Full-time, Part-time",On Campus,Multiple locations,14786,3
Flinders University,Bachelor of Tourism and Events Management,Bachelor,"Full-time, Part-time",On Campus,"Adelaide, South Australia",16320,3
Federation University Australia,Bachelor of Engineering (Civil) (Honours),Bachelor,"Full-time, Part-time",On Campus,"Ballarat, Victoria",8948,4
James Cook University,Bachelor of Environmental Science and Management,Bachelor,"Full-time, Part-time",On Campus,"Townsville, Queensland",9785,3
Australian National University,Bachelor of Criminology (Honours),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",42220,1
University of Southern Queensland,Bachelor of Environmental Engineering (Honours),Bachelor,"Full-time, Part-time",On Campus,"Toowoomba, Queensland",31040,4
James Cook University,Bachelor of Business - Laws,Bachelor,"Full-time, Part-time",On Campus,Multiple locations,16323,4.5
University of South Australia,Bachelor of Business,Bachelor,"Full-time, Part-time",On Campus,"Adelaide, South Australia",38300,3
University of Queensland,Bachelor of Communication - Arts,Bachelor,"Full-time, Part-time",On Campus,"Brisbane, Queensland",14701,4
University of Southern Queensland,Bachelor of Surveying,Bachelor,"Full-time, Part-time",On Campus,Multiple locations,31040,3
Monash University,Bachelor of Computer Science (Professional),Bachelor,"Full-time, Part-time",On Campus,"Melbourne, Victoria",4627,4
Macquarie University,Bachelor of Environmental Sciences,Bachelor,"Full-time, Part-time",On Campus,"Sydney, New South Wales",43800,3
Western Sydney University,Bachelor of Construction Management Studies - Laws,Bachelor,"Full-time, Part-time",On Campus,Multiple locations,33960,5
University of Queensland,Bachelor of Mathematical Physics,Bachelor,"Full-time, Part-time",On Campus,"Brisbane, Queensland",4760,4
Deakin University,Bachelor of Arts (Honours),Bachelor,"Full-time, Part-time",On Campus,Multiple locations,16992,1
University of Adelaide,Bachelor of Engineering (Honours),Bachelor,"Full-time, Part-time",On Campus,"Adelaide, South Australia",8245,5
University of Southern Queensland,Bachelor of Aviation,Bachelor,Full-time,On Campus,"Toowoomba, Queensland",36000,3
Monash University,Bachelor of Pharmacy (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria",42000,4
University of Queensland,Bachelor of Computer Science,Bachelor,Full-time,On Campus,"Brisbane, Queensland",38000,3
University of Wollongong,Bachelor of International Studies,Bachelor,Full-time,On Campus,"Wollongong, New South Wales",32000,3
Bond University,Bachelor of Actuarial Science,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",44000,3
Southern Cross University,Bachelor of Visual Arts,Bachelor,Full-time,On Campus,"Lismore, New South Wales",32000,3
Western Sydney University,Bachelor of Architectural Design,Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Monash University,Bachelor of Biomedical Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria",39000,3
University of Canberra,Bachelor of Media Arts and Production,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",34000,3
Flinders University,Bachelor of Environmental Health,Bachelor,Full-time,On Campus,"Adelaide, South Australia",33000,3
Deakin University,Bachelor of Forensic Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
Curtin University,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
Griffith University,Bachelor of Aviation Management,Bachelor,Full-time,On Campus,"Brisbane, Queensland",31000,3
University of Tasmania,Bachelor of Biotechnology,Bachelor,Full-time,On Campus,"Hobart, Tasmania",30000,3
James Cook University,Bachelor of Sports Science,Bachelor,Full-time,On Campus,"Townsville, Queensland",40000,3
Macquarie University,Bachelor of Data Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
University of Adelaide,Bachelor of Health Sciences,Bachelor,Full-time,On Campus,"Adelaide, South Australia",42000,3
La Trobe University,Bachelor of Accounting,Bachelor,Full-time,On Campus,"Melbourne, Victoria",29000,3
Federation University,Bachelor of Criminal Justice,Bachelor,Full-time,On Campus,"Ballarat, Victoria",29000,3
Murdoch University,Bachelor of Social Work,Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,4
University of Southern Queensland,Bachelor of Wildlife Science,Bachelor,Full-time,On Campus,"Toowoomba, Queensland",35000,3
Monash University,Bachelor of Fine Arts (Visual Art),Bachelor,Full-time,On Campus,"Melbourne, Victoria",38000,3
University of Queensland,Bachelor of Advanced Science (Honours),Bachelor,Full-time,On Campus,"Brisbane, Queensland",37000,4
University of Wollongong,Bachelor of Engineering (Honours),Bachelor,Full-time,On Campus,"Wollongong, New South Wales",34000,4
Bond University,Bachelor of Business Law,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",44000,3
Southern Cross University,Bachelor of Social Welfare,Bachelor,Full-time,On Campus,"Lismore, New South Wales",33000,3
Western Sydney University,Bachelor of Information Systems,Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Monash University,Bachelor of International Relations,Bachelor,Full-time,On Campus,"Melbourne, Victoria",40000,3
University of Canberra,Bachelor of Politics and International Relations,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",34500,3
Flinders University,Bachelor of Archaeology,Bachelor,Full-time,On Campus,"Adelaide, South Australia",32000,3
Deakin University,Bachelor of Environmental Engineering,Bachelor,Full-time,On Campus,"Melbourne, Victoria",36000,4
Curtin University,Bachelor of Urban and Regional Planning,Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,4
Griffith University,Bachelor of Design,Bachelor,Full-time,On Campus,"Brisbane, Queensland",32000,3
University of Tasmania,Bachelor of Medical Research,Bachelor,Full-time,On Campus,"Hobart, Tasmania",29000,3
James Cook University,Bachelor of Business,Bachelor,Full-time,On Campus,"Townsville, Queensland",38000,3
Macquarie University,Bachelor of Law and Psychology,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,5
University of Adelaide,Bachelor of Applied Science,Bachelor,Full-time,On Campus,"Adelaide, South Australia",42000,3
La Trobe University,Bachelor of Business Analytics,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
Federation University,Bachelor of Sport Management,Bachelor,Full-time,On Campus,"Ballarat, Victoria",31000,3
Murdoch University,Bachelor of Education (Secondary),Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,4
Australian Catholic University,Bachelor of Exercise Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",31000,3
University of Notre Dame Australia,Bachelor of Arts (Philosophy),Bachelor,Full-time,On Campus,"Fremantle, Western Australia",30500,3
Edith Cowan University,Bachelor of Design (Games and Interactive Design),Bachelor,Full-time,On Campus,"Joondalup, Western Australia",32000,3
Charles Darwin University,Bachelor of Education (Primary),Bachelor,Full-time,On Campus,"Darwin, Northern Territory",33000,4
University of Southern Queensland,Bachelor of Arts (Public Relations),Bachelor,Full-time,On Campus,"Toowoomba, Queensland",29000,3
Griffith University,Bachelor of Commerce (Accounting),Bachelor,Full-time,On Campus,"Brisbane, Queensland",31000,3
University of Western Australia,Bachelor of Biomedical Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",35000,3
University of Canberra,Bachelor of Global Studies,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",34000,3
Flinders University,Bachelor of Creative Writing,Bachelor,Full-time,On Campus,"Adelaide, South Australia",32000,3
University of Wollongong,Bachelor of Digital and Social Media,Bachelor,Full-time,On Campus,"Wollongong, New South Wales",31000,3
Bond University,Bachelor of Sports Management,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",45000,3
Curtin University,Bachelor of Molecular Genetics,Bachelor,Full-time,On Campus,"Perth, Western Australia",36000,3
University of Tasmania,Bachelor of Applied Science (Agriculture),Bachelor,Full-time,On Campus,"Hobart, Tasmania",31000,3
James Cook University,Bachelor of Education (Early Childhood),Bachelor,Full-time,On Campus,"Townsville, Queensland",33000,4
University of Western Australia,Bachelor of Science (Neuroscience),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
James Cook University,Bachelor of Education (Primary),Bachelor,Full-time,On Campus,"Townsville, Queensland",34000,4
Victoria University,Bachelor of Business (Event Management),Bachelor,Full-time,On Campus,"Melbourne, Victoria",29000,3
University of Sydney,Bachelor of Visual Arts,Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
Australian National University,Bachelor of Environmental Studies,Bachelor,Full-time,On Campus,"Canberra, ACT",37000,3
Southern Cross University,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Lismore, New South Wales",30000,3
University of Tasmania,Bachelor of Tourism,Bachelor,Full-time,On Campus,"Hobart, Tasmania",35000,3
Charles Sturt University,Bachelor of Health Science (Speech Pathology),Bachelor,Full-time,On Campus,"Bathurst, New South Wales",29000,4
Macquarie University,Bachelor of Laws,Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Flinders University,Bachelor of Engineering (Electrical and Electronic Engineering),Bachelor,Full-time,On Campus,"Adelaide, South Australia",29500,4
Federation University Australia,Bachelor of Engineering Technology (Civil),Bachelor,Full-time,On Campus,"Ballarat, Victoria",32000,3
Curtin University,Bachelor of Design,Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
University of Melbourne,Bachelor of Science (Biochemistry),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
University of Southern Queensland,Bachelor of Laws (Honours),Bachelor,Full-time,On Campus,"Toowoomba, Queensland",31000,4
University of Adelaide,Bachelor of Economics,Bachelor,Full-time,On Campus,"Adelaide, South Australia",35000,3
Bond University,Bachelor of Construction Management,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",35000,3
Griffith University,Bachelor of Animation,Bachelor,Full-time,On Campus,"Brisbane, Queensland",32000,3
University of Queensland,Bachelor of Music (Honours),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,4
University of Technology Sydney,Bachelor of Engineering (Honours),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,4
University of New South Wales,Bachelor of Design (Honours),Bachelor,Full-time,On Campus,"Kensington, New South Wales",37000,4
University of Western Australia,Bachelor of Science (Physics),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
Murdoch University,Bachelor of Sport and Exercise Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
University of Sydney,Bachelor of Commerce (Finance),Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
University of Tasmania,Bachelor of Fine Arts (Visual Arts),Bachelor,Full-time,On Campus,"Hobart, Tasmania",35000,3
Macquarie University,Bachelor of Applied Finance,Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Flinders University,Bachelor of Health Sciences,Bachelor,Full-time,On Campus,"Adelaide, South Australia",29500,3
CQUniversity,Bachelor of Business (Marketing),Bachelor,Full-time,On Campus,"Rockhampton, Queensland",33000,3
University of South Australia,Bachelor of Creative Arts (Fashion Design),Bachelor,Full-time,On Campus,"Adelaide, South Australia",29500,3
University of New England,Bachelor of Early Childhood Education,Bachelor,Full-time,On Campus,"Armidale, New South Wales",28000,4
University of Southern Queensland,Bachelor of Arts (History),Bachelor,Full-time,On Campus,"Toowoomba, Queensland",31000,3
Griffith University,Bachelor of Education (Secondary),Bachelor,Full-time,On Campus,"Brisbane, Queensland",32000,4
University of Canberra,Bachelor of Nutrition Science,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",33000,3
University of Technology Sydney,Bachelor of Medical Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
University of New South Wales,Bachelor of Science (Environmental Management),Bachelor,Full-time,On Campus,"Kensington, New South Wales",37000,3
University of Western Australia,Bachelor of Science (Microbiology and Immunology),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
University of Canberra,Bachelor of Arts (Creative Writing),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",33000,3
Victoria University,Bachelor of Law (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria",29000,4
Murdoch University,Bachelor of Business Information Systems,Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
University of Queensland,Bachelor of Speech Pathology (Honours),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,4
Australian National University,"Bachelor of Politics, Philosophy and Economics",Bachelor,Full-time,On Campus,"Canberra, ACT",37000,3
University of Tasmania,Bachelor of Information Technology(BIT),Bachelor,Full-time,On Campus,"Hobart, Tasmania",35000,3
La Trobe University,Bachelor of Science (Biomedical Science),Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
Charles Sturt University,Bachelor of Communication (Journalism),Bachelor,Full-time,On Campus,"Bathurst, New South Wales",29000,3
University of Wollongong,Bachelor of Mathematics and Statistics,Bachelor,Full-time,On Campus,"Wollongong, New South Wales",30000,3
Flinders University,Bachelor of Paramedicine (Honours),Bachelor,Full-time,On Campus,"Adelaide, South Australia",29500,4
Federation University Australia,Bachelor of Health Science (Osteopathy),Bachelor,Full-time,On Campus,"Ballarat, Victoria",32000,4
University of South Australia,Bachelor of Tourism and Event Management,Bachelor,Full-time,On Campus,"Adelaide, South Australia",29500,3
Curtin University,Bachelor of Arts (Fine Art),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
University of New England,Bachelor of Biomedical Science,Bachelor,Full-time,On Campus,"Armidale, New South Wales",28000,3
University of Southern Queensland,Bachelor of Business and Commerce,Bachelor,Full-time,On Campus,"Toowoomba, Queensland",31000,3
University of Adelaide,Bachelor of Computer Science,Bachelor,Full-time,On Campus,"Adelaide, South Australia",35000,3
Griffith University,Bachelor of Social Work (Honours),Bachelor,Full-time,On Campus,"Brisbane, Queensland",32000,4
University of Queensland,Bachelor of Biotechnology (Honours),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,4
University of Canberra,Bachelor of Applied Economics,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",33000,3
University of New South Wales,Bachelor of Civil Engineering,Bachelor,Full-time,On Campus,"Kensington, New South Wales",37000,4
University of Western Australia,Bachelor of Commerce (Accounting),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
Bond University,Bachelor of Digital Media,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",35000,3
Murdoch University,Bachelor of International Relations,Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
University of Queensland,Bachelor of Economics,Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,3
University of Sydney,Bachelor of Advanced Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,4
Australian National University,Bachelor of Philosophy (Honours) - Humanities and Social Sciences,Bachelor,Full-time,On Campus,"Canberra, ACT",37000,4
Southern Cross University,Bachelor of Arts (Creative Writing),Bachelor,Full-time,On Campus,"Lismore, New South Wales",30000,3
La Trobe University,Bachelor of Physical and Health Education,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,4
University of Wollongong,Bachelor of Arts (Philosophy and Politics),Bachelor,Full-time,On Campus,"Wollongong, New South Wales",30000,3
Flinders University,Bachelor of Environmental Science,Bachelor,Full-time,On Campus,"Adelaide, South Australia",29500,3
CQUniversity,Bachelor of Information Technology(BIT) (Software Design),Bachelor,Full-time,On Campus,"Rockhampton, Queensland",33000,3
University of South Australia,Bachelor of Aviation (Flight),Bachelor,Full-time,On Campus,"Adelaide, South Australia",29500,3
University of Melbourne,Bachelor of Urban Planning and Design,Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
University of New England,Bachelor of Science in Agriculture,Bachelor,Full-time,On Campus,"Armidale, New South Wales",28000,3
University of Southern Queensland,Bachelor of Design and Technology,Bachelor,Full-time,On Campus,"Toowoomba, Queensland",31000,3
University of Adelaide,Bachelor of Arts (Creative Writing),Bachelor,Full-time,On Campus,"Adelaide, South Australia",35000,3
University of Queensland,Bachelor of Veterinary Science (Honours),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,5
University of Canberra,Bachelor of Landscape Architecture,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",33000,4
University of Technology Sydney,Bachelor of Software Engineering,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,4
University of Western Australia,Bachelor of Fine Arts (Honours),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,4
Bond University,Bachelor of Exercise and Sports Science,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",35000,3
Victoria University,Bachelor of Laws (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria",29000,4
Murdoch University,"Bachelor of Security, Terrorism and Counterterrorism",Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
University of Queensland,"Bachelor of Politics, Philosophy and Economics",Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,4
Australian National University,Bachelor of Engineering (Research and Development) (Honours),Bachelor,Full-time,On Campus,"Canberra, ACT",37000,4
Southern Cross University,Bachelor of Pedagogy,Bachelor,Full-time,On Campus,"Lismore, New South Wales",30000,3
University of Tasmania,Bachelor of Creative Arts (Theatre and Performance),Bachelor,Full-time,On Campus,"Hobart, Tasmania",35000,3
La Trobe University,Bachelor of Animal and Veterinary Biosciences,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
University of Wollongong,Bachelor of Nutrition Science,Bachelor,Full-time,On Campus,"Wollongong, New South Wales",30000,3
Flinders University,Bachelor of Social Work,Bachelor,Full-time,On Campus,"Adelaide, South Australia",29500,4
Federation University Australia,Bachelor of Psychology,Bachelor,Full-time,On Campus,"Ballarat, Victoria",32000,4
CQUniversity,Bachelor of Engineering Technology,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",33000,4
University of South Australia,Bachelor of Medical Radiation Science (Radiation Therapy),Bachelor,Full-time,On Campus,"Adelaide, South Australia",29500,4
Curtin University,Bachelor of Medicine and Bachelor of Surgery,Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,5
University of Melbourne,Bachelor of Commerce (Finance and Accounting),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
University of New England,Bachelor of Arts (Sociology),Bachelor,Full-time,On Campus,"Armidale, New South Wales",28000,3
University of Southern Queensland,Bachelor of Engineering Science,Bachelor,Full-time,On Campus,"Toowoomba, Queensland",31000,3
University of Adelaide,Bachelor of Music (Classical Performance),Bachelor,Full-time,On Campus,"Adelaide, South Australia",35000,3
Bond University,Bachelor of Business and Commerce,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",35000,3
Griffith University,Bachelor of Film and Screen Media Production,Bachelor,Full-time,On Campus,"Brisbane, Queensland",32000,3
University of Canberra,Bachelor of Health Science (Medical Radiations),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",33000,4
University of Technology Sydney,Bachelor of Biomedical Engineering,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,4
University of New South Wales,Bachelor of Music (Honours),Bachelor,Full-time,On Campus,"Kensington, New South Wales",37000,4
University of Western Australia,Bachelor of Science (Agriculture),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
Bond University,Bachelor of Health Transformation,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",35000,3
Victoria University,Bachelor of Sport Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria",29000,3
Murdoch University,Bachelor of Molecular Biology,Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
University of Sydney,Bachelor of Science (Pharmacology),Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
Southern Cross University,Bachelor of Social Work,Bachelor,Full-time,On Campus,"Lismore, New South Wales",30000,4
La Trobe University,Bachelor of Business (Sports Management),Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
University of Wollongong,Bachelor of Engineering (Honours),Bachelor,Full-time,On Campus,"Wollongong, New South Wales",30000,4
