Curtin University,Bachelor of Science (Agriculture),B.Sc.,Full-time,On Campus,"Perth, Western Australia",33000,3
University of Sydney,Bachelor of Information Technology,Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
University of Sydney,Bachelor of Science (Geophysics),B.Sc.,Full-time,On Campus,"Sydney, New South Wales",34000,3
University of Queensland,Bachelor of Science (Astronomy),B.Sc.,Full-time,On Campus,"Brisbane, Queensland",36000,3
University of Queensland,Bachelor of Business (Economics),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,3
Monash University,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Melbourne, Victoria",37000,3
Monash University,Bachelor of Science (Physics),B.Sc.,Full-time,On Campus,"Melbourne, Victoria",35000,3
Australian National University,Bachelor of Science (Honours),B.Sc.,Full-time,On Campus,"Canberra, ACT",36000,3
Australian National University,Bachelor of Environmental Management,B.Sc.,Full-time,On Campus,"Canberra, ACT",35000,3
University of New South Wales,Bachelor of Science (Marine Science),B.Sc.,Full-time,On Campus,"Sydney, New South Wales",36000,3
University of New South Wales,Bachelor of Commerce (International Business),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
University of Adelaide,Bachelor of Medical Science,B.Sc.,Full-time,On Campus,"Adelaide, South Australia",37000,3
University of Adelaide,Bachelor of Science (Physics and Chemistry),B.Sc.,Full-time,On Campus,"Adelaide, South Australia",34000,3
University of Western Australia,Bachelor of Health Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
Curtin University,Bachelor of Commerce (Business Law),Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
Curtin University,Bachelor of Science (Forensic Science),B.Sc.,Full-time,On Campus,"Perth, Western Australia",35000,3
University of Sydney,Bachelor of Science (Honours),B.Sc.,Full-time,On Campus,"Sydney, New South Wales",36000,3
University of Sydney,Bachelor of Engineering (Mechatronics),B.Eng.,Full-time,On Campus,"Sydney, New South Wales",40000,3
University of Queensland,Bachelor of Applied Science (Animal Science),B.Sc.,Full-time,On Campus,"Brisbane, Queensland",34000,3
Monash University,Bachelor of Science (Environmental Science),B.Sc.,Full-time,On Campus,"Melbourne, Victoria",36000,3
Monash University,Bachelor of Commerce (Actuarial Studies),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Australian National University,Bachelor of Software Engineering,B.Eng.,Full-time,On Campus,"Canberra, ACT",37000,3
University of New South Wales,Bachelor of Computer Science,B.Sc.,Full-time,On Campus,"Sydney, New South Wales",36000,3
University of New South Wales,Bachelor of Arts (Creative Writing),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
University of Adelaide,Bachelor of Engineering (Mining Engineering),B.Eng.,Full-time,On Campus,"Adelaide, South Australia",39000,3
University of Adelaide,Bachelor of Science (Earth Sciences),B.Sc.,Full-time,On Campus,"Adelaide, South Australia",34000,3
University of Western Australia,Bachelor of Science (Agriculture),B.Sc.,Full-time,On Campus,"Perth, Western Australia",35000,3
University of Western Australia,Bachelor of Commerce (Accounting and Finance),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
Curtin University,Bachelor of Communications (Digital Media),Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
Curtin University,Bachelor of Engineering (Civil),B.Eng.,Full-time,On Campus,"Perth, Western Australia",39000,3
University of Sydney,Bachelor of Education (Secondary),Bachelor,Full-time,On Campus,"Sydney, New South Wales",37000,3
University of Sydney,Bachelor of Music (Performance),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
University of Queensland,Bachelor of Biotechnology (Bioprocessing),B.Sc.,Full-time,On Campus,"Brisbane, Queensland",36000,3
Monash University,Bachelor of Science (Microbiology),B.Sc.,Full-time,On Campus,"Melbourne, Victoria",36000,3
Monash University,Bachelor of Business (Management),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Australian National University,Bachelor of Economics (Honours),Bachelor,Full-time,On Campus,"Canberra, ACT",35000,3
Australian National University,Bachelor of Commerce (Finance),Bachelor,Full-time,On Campus,"Canberra, ACT",34000,3
University of New South Wales,Bachelor of Music (Jazz Performance),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
University of New South Wales,Bachelor of Law (LLB),Bachelor,Full-time,On Campus,"Sydney, New South Wales",41000,3
University of Adelaide,Bachelor of Agricultural Science,B.Sc.,Full-time,On Campus,"Adelaide, South Australia",34000,3
University of Adelaide,Bachelor of Engineering (Civil and Environmental),B.Eng.,Full-time,On Campus,"Adelaide, South Australia",38000,3
University of Western Australia,Bachelor of Science (Molecular Biology),B.Sc.,Full-time,On Campus,"Perth, Western Australia",34000,3
University of Western Australia,Bachelor of Commerce (Business Law),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
Curtin University,Bachelor of Design (Graphic Design),Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
Curtin University,Bachelor of Science (Mathematics and Statistics),B.Sc.,Full-time,On Campus,"Perth, Western Australia",34000,3
University of Sydney,Bachelor of Science (Chemistry),B.Sc.,Full-time,On Campus,"Sydney, New South Wales",35000,3
University of Sydney,Bachelor of Law and International Studies,Bachelor,Full-time,On Campus,"Sydney, New South Wales",40000,3
University of Queensland,Bachelor of Business (Human Resources),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,3
University of Queensland,Bachelor of Science (Biomedical Science),B.Sc.,Full-time,On Campus,"Brisbane, Queensland",36000,3
Monash University,Bachelor of Business (International Business),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
Monash University,Bachelor of Arts (International Relations),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Australian National University,Bachelor of Science (Astrophysics),B.Sc.,Full-time,On Campus,"Canberra, ACT",36000,3
Australian National University,Bachelor of Music (Honours),Bachelor,Full-time,On Campus,"Canberra, ACT",33000,3
University of New South Wales,Bachelor of Arts (Philosophy),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
University of New South Wales,Bachelor of Engineering (Software Engineering),B.Eng.,Full-time,On Campus,"Sydney, New South Wales",40000,3
University of Adelaide,Bachelor of Computer Science (Data Science),B.Sc.,Full-time,On Campus,"Adelaide, South Australia",35000,3
University of Adelaide,Bachelor of Science (Marine and Freshwater Biology),B.Sc.,Full-time,On Campus,"Adelaide, South Australia",34000,3
University of Western Australia,Bachelor of Arts (Media and Communication),Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
University of Western Australia,Bachelor of Engineering (Mechatronics),B.Eng.,Full-time,On Campus,"Perth, Western Australia",39000,3
Curtin University,Bachelor of Applied Science (Occupational Therapy),B.Sc.,Full-time,On Campus,"Perth, Western Australia",35000,3
Curtin University,Bachelor of Arts (Digital Media),Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
University of Sydney,Bachelor of Applied Science (Physiotherapy),B.Sc.,Full-time,On Campus,"Sydney, New South Wales",41000,3
University of Sydney,Bachelor of Science (Genetics),B.Sc.,Full-time,On Campus,"Sydney, New South Wales",36000,3
University of Queensland,Bachelor of Engineering (Civil Engineering),B.Eng.,Full-time,On Campus,"Brisbane, Queensland",40000,3
University of Queensland,Bachelor of Science (Zoology),B.Sc.,Full-time,On Campus,"Brisbane, Queensland",35000,3
Monash University,Bachelor of Science (Physics),B.Sc.,Full-time,On Campus,"Melbourne, Victoria",36000,3
Australian National University,Bachelor of Commerce (Accounting),Bachelor,Full-time,On Campus,"Canberra, ACT",34000,3
University of New South Wales,Bachelor of Law and Media,Bachelor,Full-time,On Campus,"Sydney, New South Wales",40000,3
University of Adelaide,Bachelor of Agricultural Science (Honours),B.Sc.,Full-time,On Campus,"Adelaide, South Australia",35000,3
University of Adelaide,Bachelor of Engineering (Electrical Engineering),B.Eng.,Full-time,On Campus,"Adelaide, South Australia",38000,3
University of Western Australia,Bachelor of Health Science (Public Health),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
University of Western Australia,Bachelor of Science (Honours),B.Sc.,Full-time,On Campus,"Perth, Western Australia",35000,3
Curtin University,Bachelor of Science (Medical Radiation Science),B.Sc.,Full-time,On Campus,"Perth, Western Australia",35000,3
Curtin University,Bachelor of Engineering (Civil Engineering),B.Eng.,Full-time,On Campus,"Perth, Western Australia",39000,3
University of Sydney,Bachelor of Architecture,Bachelor,Full-time,On Campus,"Sydney, New South Wales",40000,3
University of Sydney,Bachelor of Science (Physics),B.Sc.,Full-time,On Campus,"Sydney, New South Wales",36000,3
University of Queensland,Bachelor of Arts (Linguistics),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,3
University of Queensland,Bachelor of Engineering (Electrical Engineering),B.Eng.,Full-time,On Campus,"Brisbane, Queensland",40000,3
Monash University,Bachelor of Arts (Creative Writing),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
University of New South Wales,Bachelor of Arts (Media Studies),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
University of New South Wales,Bachelor of Science (Chemistry),B.Sc.,Full-time,On Campus,"Sydney, New South Wales",36000,3
University of Adelaide,Bachelor of Science (Environmental Geoscience),B.Sc.,Full-time,On Campus,"Adelaide, South Australia",34000,3
University of Western Australia,Bachelor of Commerce (Economics),Bachelor,Full-time,On Campus,"Perth, Western Australia",35000,3
University of Western Australia,Bachelor of Science (Agribusiness),B.Sc.,Full-time,On Campus,"Perth, Western Australia",34000,3
Curtin University,Bachelor of Science (Pharmacy),B.Sc.,Full-time,On Campus,"Perth, Western Australia",36000,3
Curtin University,Bachelor of Communications (Film and Television),Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
University of Sydney,Bachelor of Commerce (Finance),Bachelor,Full-time,On Campus,"Sydney, New South Wales",37000,3
University of Sydney,Bachelor of Applied Science (Occupational Therapy),B.Sc.,Full-time,On Campus,"Sydney, New South Wales",39000,3
University of Queensland,Bachelor of Engineering (Mechanical and Aerospace Engineering),B.Eng.,Full-time,On Campus,"Brisbane, Queensland",40000,3
University of Queensland,Bachelor of Arts (History),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,3
Monash University,Bachelor of Science (Data Science),B.Sc.,Full-time,On Campus,"Melbourne, Victoria",36000,3
Monash University,Bachelor of Arts (Economics),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
Australian National University,Bachelor of Commerce (Honours),Bachelor,Full-time,On Campus,"Canberra, ACT",36000,3
Australian National University,"Bachelor of Politics, Philosophy, and Economics (PPE)",Bachelor,Full-time,On Campus,"Canberra, ACT",37000,3
University of New South Wales,Bachelor of Arts (History and Philosophy of Science),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
University of Adelaide,Bachelor of Science (Veterinary Biology),B.Sc.,Full-time,On Campus,"Adelaide, South Australia",36000,3
University of Adelaide,Bachelor of Commerce (Accounting),Bachelor,Full-time,On Campus,"Adelaide, South Australia",35000,3
University of Western Australia,Bachelor of Engineering (Chemical),B.Eng.,Full-time,On Campus,"Perth, Western Australia",39000,3
University of Western Australia,Bachelor of Science (Plant Biology),B.Sc.,Full-time,On Campus,"Perth, Western Australia",34000,3
Curtin University,Bachelor of Business (Marketing),Bachelor,Full-time,On Campus,"Perth, Western Australia",35000,3
Curtin University,Bachelor of Science (Marine Science),B.Sc.,Full-time,On Campus,"Perth, Western Australia",34000,3
University of Sydney,Bachelor of Engineering (Electrical Engineering),B.Eng.,Full-time,On Campus,"Sydney, New South Wales",40000,3
University of Sydney,Bachelor of Law (LLB),Bachelor,Full-time,On Campus,"Sydney, New South Wales",42000,3
University of Queensland,Bachelor of Arts (Philosophy),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,3
University of Queensland,Bachelor of Science (Microbiology and Immunology),B.Sc.,Full-time,On Campus,"Brisbane, Queensland",36000,3
Monash University,Bachelor of Arts (Psychology),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Monash University,Bachelor of Commerce (Business Analytics),Bachelor,Full-time,On Campus,"Melbourne, Victoria",36000,3
Australian National University,Bachelor of Arts (Anthropology),Bachelor,Full-time,On Campus,"Canberra, ACT",35000,3
Australian National University,Bachelor of Engineering (Mechatronics),B.Eng.,Full-time,On Campus,"Canberra, ACT",39000,3
University of New South Wales,Bachelor of Engineering (Civil Engineering),B.Eng.,Full-time,On Campus,"Sydney, New South Wales",40000,3
University of New South Wales,Bachelor of Science (Biotechnology),B.Sc.,Full-time,On Campus,"Sydney, New South Wales",37000,3
University of Adelaide,Bachelor of Arts (Creative Writing),Bachelor,Full-time,On Campus,"Adelaide, South Australia",33000,3
University of Adelaide,Bachelor of Science (Molecular Biology),B.Sc.,Full-time,On Campus,"Adelaide, South Australia",34000,3
University of Western Australia,Bachelor of Science (Genetics),B.Sc.,Full-time,On Campus,"Perth, Western Australia",35000,3
Curtin University,Bachelor of Science (Data Science),B.Sc.,Full-time,On Campus,"Perth, Western Australia",36000,3
Curtin University,Bachelor of Design (Interior Design),Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
University of Sydney,Bachelor of Science (Mathematics and Statistics),B.Sc.,Full-time,On Campus,"Sydney, New South Wales",36000,3
University of Sydney,Bachelor of Commerce (Management),Bachelor,Full-time,On Campus,"Sydney, New South Wales",37000,3
University of Queensland,Bachelor of Applied Science (Animal and Veterinary Bioscience),B.Sc.,Full-time,On Campus,"Brisbane, Queensland",37000,3
University of Queensland,Bachelor of Science (Biochemistry),B.Sc.,Full-time,On Campus,"Brisbane, Queensland",36000,3
Monash University,Bachelor of Nursing and Midwifery,Bachelor,Full-time,On Campus,"Melbourne, Victoria",37000,3
Monash University,Bachelor of Engineering (Honours),B.Eng.,Full-time,On Campus,"Melbourne, Victoria",39000,3
Australian National University,Bachelor of Arts (English Literature),Bachelor,Full-time,On Campus,"Canberra, ACT",34000,3
Australian National University,Bachelor of Science (Biotechnology),B.Sc.,Full-time,On Campus,"Canberra, ACT",35000,3
University of New South Wales,Bachelor of Environmental Science,B.Sc.,Full-time,On Campus,"Sydney, New South Wales",36000,3
University of New South Wales,Bachelor of Arts (Sociology),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
University of Adelaide,Bachelor of Engineering (Honours) (Petroleum),B.Eng.,Full-time,On Campus,"Adelaide, South Australia",40000,3
University of Adelaide,Bachelor of Science (Ecology),B.Sc.,Full-time,On Campus,"Adelaide, South Australia",34000,3
University of Western Australia,Bachelor of Commerce (Finance),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
University of Western Australia,Bachelor of Science (Zoology),B.Sc.,Full-time,On Campus,"Perth, Western Australia",35000,3
Curtin University,Bachelor of Education (Secondary),Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
Curtin University,Bachelor of Engineering (Mechanical),B.Eng.,Full-time,On Campus,"Perth, Western Australia",39000,3
University of Sydney,Bachelor of Music (Composition),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
University of Queensland,Bachelor of Agricultural Science,Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,3
University of Queensland,Bachelor of Law (Honours),Bachelor,Full-time,On Campus,"Brisbane, Queensland",41000,3
Monash University,Bachelor of Media and Communication,Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
Monash University,Bachelor of Fine Arts (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria",37000,3
Australian National University,Bachelor of Science (Marine Science),B.Sc.,Full-time,On Campus,"Canberra, ACT",36000,3
Australian National University,Bachelor of Design Arts,Bachelor,Full-time,On Campus,"Canberra, ACT",34000,3
University of New South Wales,Bachelor of International Business,Bachelor,Full-time,On Campus,"Sydney, New South Wales",37000,3
University of New South Wales,Bachelor of Science (Ecology),B.Sc.,Full-time,On Campus,"Sydney, New South Wales",36000,3
University of Adelaide,Bachelor of Arts (International Relations),Bachelor,Full-time,On Campus,"Adelaide, South Australia",34000,3
University of Western Australia,Bachelor of Arts (History),Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
University of Western Australia,Bachelor of Science (Marine and Freshwater Biology),B.Sc.,Full-time,On Campus,"Perth, Western Australia",35000,3
Curtin University,Bachelor of Science (Health and Safety),B.Sc.,Full-time,On Campus,"Perth, Western Australia",34000,3
University of Sydney,Bachelor of Science (Statistics),B.Sc.,Full-time,On Campus,"Sydney, New South Wales",36000,3
University of Sydney,Bachelor of Design (Architecture),Bachelor,Full-time,On Campus,"Sydney, New South Wales",39000,3
University of Queensland,Bachelor of Engineering (Honours) (Civil Engineering),B.Eng.,Full-time,On Campus,"Brisbane, Queensland",40000,3
University of Queensland,Bachelor of Information Technology,Bachelor,Full-time,On Campus,"Brisbane, Queensland",36000,3
Monash University,Bachelor of Arts (Languages),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
Monash University,Bachelor of Engineering (Honours) (Environmental),B.Eng.,Full-time,On Campus,"Melbourne, Victoria",40000,3
Australian National University,Bachelor of Commerce (Marketing),Bachelor,Full-time,On Campus,"Canberra, ACT",34000,3
University of New South Wales,Bachelor of Arts (Music),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
University of New South Wales,Bachelor of Engineering (Honours) (Mechanical),B.Eng.,Full-time,On Campus,"Sydney, New South Wales",40000,3
Bond University,Bachelor of Laws,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",43000,3
Bond University,Bachelor of Journalism,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",36000,3
Deakin University,Bachelor of Science (Biomedical Science),B.Sc.,Full-time,On Campus,"Melbourne, Victoria",35000,3
Deakin University,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Griffith University,Bachelor of Engineering (Civil),B.Eng.,Full-time,On Campus,"Brisbane, Queensland",37000,3
Griffith University,Bachelor of Design (Interior Design),Bachelor,Full-time,On Campus,"Brisbane, Queensland",35000,3
La Trobe University,Bachelor of Business,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
La Trobe University,Bachelor of Science (Environmental Science),B.Sc.,Full-time,On Campus,"Melbourne, Victoria",35000,3
Macquarie University,Bachelor of Commerce,Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
Macquarie University,Bachelor of Arts (Philosophy),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
RMIT University,Bachelor of Engineering (Electrical),B.Eng.,Full-time,On Campus,"Melbourne, Victoria",38000,3
RMIT University,Bachelor of Design (Industrial Design),Bachelor,Full-time,On Campus,"Melbourne, Victoria",37000,3
Swinburne University of Technology,Bachelor of Media and Communication,Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
Swinburne University of Technology,Bachelor of Science (Physics),B.Sc.,Full-time,On Campus,"Melbourne, Victoria",34000,3
University of Canberra,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Canberra, ACT",35000,3
University of Canberra,Bachelor of Business,Bachelor,Full-time,On Campus,"Canberra, ACT",34000,3
University of Newcastle,Bachelor of Commerce,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",35000,3
University of Newcastle,Bachelor of Science (Marine Biology),B.Sc.,Full-time,On Campus,"Newcastle, New South Wales",36000,3
University of South Australia,Bachelor of Arts (Communication and Media),Bachelor,Full-time,On Campus,"Adelaide, South Australia",34000,3
University of South Australia,Bachelor of Science (Biotechnology),B.Sc.,Full-time,On Campus,"Adelaide, South Australia",35000,3
Victoria University,Bachelor of Science (Biomedical Science),B.Sc.,Full-time,On Campus,"Melbourne, Victoria",34000,3
Victoria University,Bachelor of Arts (Psychology),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Western Sydney University,Bachelor of Commerce,Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
Western Sydney University,Bachelor of Engineering (Honours),B.Eng.,Full-time,On Campus,"Sydney, New South Wales",37000,3
Charles Sturt University,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Wagga Wagga, New South Wales",34000,3
Charles Sturt University,Bachelor of Business (Management),Bachelor,Full-time,On Campus,"Wagga Wagga, New South Wales",33000,3
Murdoch University,Bachelor of Science (Environmental Science),B.Sc.,Full-time,On Campus,"Perth, Western Australia",35000,3
Murdoch University,Bachelor of Arts (Creative Writing),Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
Federation University,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Ballarat, Victoria",33000,3
Federation University,Bachelor of Business,Bachelor,Full-time,On Campus,"Ballarat, Victoria",32000,3
CQUniversity,Bachelor of Science (Psychology),B.Sc.,Full-time,On Campus,"Rockhampton, Queensland",34000,3
CQUniversity,Bachelor of Information Technology,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",35000,3
University of the Sunshine Coast,Bachelor of Science (Environmental Management),B.Sc.,Full-time,On Campus,"Sunshine Coast, Queensland",35000,3
University of the Sunshine Coast,Bachelor of Design,Bachelor,Full-time,On Campus,"Sunshine Coast, Queensland",33000,3
Southern Cross University,Bachelor of Business,Bachelor,Full-time,On Campus,"Lismore, New South Wales",34000,3
Southern Cross University,Bachelor of Arts (Psychology),Bachelor,Full-time,On Campus,"Lismore, New South Wales",33000,3
Australian Catholic University,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Australian Catholic University,Bachelor of Arts,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Torrens University,Bachelor of Business,Bachelor,Full-time,On Campus,"Adelaide, South Australia",35000,3
Torrens University,Bachelor of Science (Information Technology),B.Sc.,Full-time,On Campus,"Adelaide, South Australia",34000,3
The University of Notre Dame,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Fremantle, Western Australia",35000,3
The University of Notre Dame,Bachelor of Business,Bachelor,Full-time,On Campus,"Fremantle, Western Australia",34000,3
The University of Notre Dame,Bachelor of Arts (History),Bachelor,Full-time,On Campus,"Fremantle, Western Australia",33000,3
Australian College of Applied Professions (ACAP),Bachelor of Psychological Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Australian College of Applied Professions (ACAP),Bachelor of Criminology and Justice,Bachelor,Full-time,On Campus,"Sydney, New South Wales",31000,3
Billy Blue College of Design,Bachelor of Interior Design (Residential),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Billy Blue College of Design,Bachelor of Digital Media (Film and Video),Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
Blue Mountains International Hotel Management School,Bachelor of Business (International Hotel and Resort Management),Bachelor,Full-time,On Campus,"Leura, New South Wales",37000,3
Blue Mountains International Hotel Management School,Bachelor of Business (Event Management),Bachelor,Full-time,On Campus,"Leura, New South Wales",38000,3
Endeavour College of Natural Health,Bachelor of Health Science (Naturopathy),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Endeavour College of Natural Health,Bachelor of Health Science (Nutritional Medicine),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
JMC Academy,Bachelor of Creative Arts (Game Design),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
JMC Academy,Bachelor of Creative Arts (Animation),Bachelor,Full-time,On Campus,"Melbourne, Victoria",36000,3
Kaplan Business School,Bachelor of Business (Accounting),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Kaplan Business School,Bachelor of Business (Marketing),Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Le Cordon Bleu Australia,Bachelor of Business (International Hotel Management),Bachelor,Full-time,On Campus,"Adelaide, South Australia",38000,3
Le Cordon Bleu Australia,Bachelor of Business (Culinary Management),Bachelor,Full-time,On Campus,"Adelaide, South Australia",37000,3
Macleay College,Bachelor of Business,Bachelor,Full-time,On Campus,"Sydney, New South Wales",31000,3
Macleay College,Bachelor of Journalism,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Melbourne Institute of Technology (MIT),Bachelor of Networking,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Melbourne Institute of Technology (MIT),Bachelor of Business,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
SAE Creative Media Institute,Bachelor of Audio,Bachelor,Full-time,On Campus,"Byron Bay, New South Wales",35000,3
SAE Creative Media Institute,Bachelor of Animation,Bachelor,Full-time,On Campus,"Byron Bay, New South Wales",34000,3
Torrens University,Bachelor of Design (Game Design),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Torrens University,Bachelor of Business (Entrepreneurship),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Think Education,Bachelor of Health Science (Aesthetics),Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
Think Education,Bachelor of Counselling,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
University of Divinity,Bachelor of Theology,Bachelor,Full-time,On Campus,"Melbourne, Victoria",31000,3
University of Divinity,Bachelor of Ministry,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
University of Southern Queensland,Bachelor of Science (Psychology),B.Sc.,Full-time,On Campus,"Toowoomba, Queensland",34000,3
University of Southern Queensland,Bachelor of Business and Commerce,Bachelor,Full-time,On Campus,"Toowoomba, Queensland",33000,3
"International College of Management, Sydney (ICMS)",Bachelor of Business (Sports Management),Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
"International College of Management, Sydney (ICMS)",Bachelor of Event Management,Bachelor,Full-time,On Campus,"Sydney, New South Wales",37000,3
Charles Darwin University,Bachelor of Environmental Science,B.Sc.,Full-time,On Campus,"Darwin, Northern Territory",34000,3
Charles Darwin University,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Darwin, Northern Territory",32000,3
Holmesglen Institute,Bachelor of Information Systems,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Holmesglen Institute,Bachelor of Business Administration,B.B.A.,Full-time,On Campus,"Melbourne, Victoria",33000,3
AIM Business School,Bachelor of Business,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
AIM Business School,Bachelor of Management,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Moore Theological College,Bachelor of Theology,Bachelor,Full-time,On Campus,"Sydney, New South Wales",31000,3
Moore Theological College,Bachelor of Divinity,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Adelaide Central School of Art,Bachelor of Visual Art,Bachelor,Full-time,On Campus,"Adelaide, South Australia",31000,3
Adelaide Central School of Art,Bachelor of Creative Arts (Photography),Bachelor,Full-time,On Campus,"Adelaide, South Australia",32000,3
Australian Film Television and Radio School (AFTRS),Bachelor of Arts (Screen Production),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Australian Film Television and Radio School (AFTRS),Bachelor of Arts (Television Production),Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
Marcus Oldham College,Bachelor of Business (Agriculture),Bachelor,Full-time,On Campus,"Geelong, Victoria",33000,3
Marcus Oldham College,Bachelor of Business (Equine Management),Bachelor,Full-time,On Campus,"Geelong, Victoria",34000,3
National Art School,Bachelor of Fine Arts (Painting),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
National Art School,Bachelor of Fine Arts (Sculpture),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Australian Institute of Music (AIM),Bachelor of Music (Performance),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Australian Institute of Music (AIM),Bachelor of Entertainment Management,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Sheridan College,Bachelor of Arts,Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
Sheridan College,Bachelor of Business,Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
The College of Law,Bachelor of Laws,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Australian Institute of Business,Bachelor of Business Administration,B.B.A.,Full-time,On Campus,"Adelaide, South Australia",34000,3
Australian Institute of Business,Bachelor of Management,Bachelor,Full-time,On Campus,"Adelaide, South Australia",33000,3
